Date,Adj Close,Close,High,Low,Open,Volume
2023-08-02,91.81352997,95.06999969,97.73999786,94.55999756,97.72000122,19452300
2023-08-03,94.23755646,97.58000183,98.48999786,96.58000183,96.70999908,15370900
2023-08-04,93.58084869,96.90000153,98.48999786,96.69000244,97.73500061,13434800
2023-08-07,93.25248718,96.55999756,97.80000305,95.02999878,97.77999878,13893900
2023-08-08,90.99264526,94.22000122,94.48000336,92.92199707,93.51000214,13504700
2023-08-09,91.60106659,94.84999847,96.30000305,94.08000183,96.02500153,18640100
2023-08-10,95.8117218,99.20999908,101.8399963,97.12000275,98.30999756,53193100
2023-08-11,92.44126892,95.72000122,97.65000153,94.33999634,97.33999634,25185600
2023-08-14,90.25868225,93.45999908,94.44999695,92.52999878,94.23999786,17581000
2023-08-15,88.45272827,91.58999634,93.01000214,90.74500275,93,14756300
2023-08-16,86.06733704,89.12000275,90.5,88.29000092,89.62999725,23292400
2023-08-17,87.5449295,90.65000153,91.94999695,90.26000214,91.94000244,15732300
2023-08-18,85.01467133,88.02999878,88.36000061,86.86000061,87.77999878,20391400
2023-08-21,85.53617096,88.56999969,88.81999969,87.22000122,87.59999847,14167300
2023-08-22,85.06295776,88.08000183,89.48999786,87.86000061,89.27999878,11611600
2023-08-23,86.76267242,89.83999634,90.58999634,88.30999756,88.37000275,12185700
2023-08-24,86.05768585,89.11000061,90.91999817,89.04000092,90.48999786,10684500
2023-08-25,86.74336243,89.81999969,90.04000092,88.26999664,89.25,11382200
2023-08-28,89.08046722,92.23999786,92.76999664,91.29000092,91.5,14613800
2023-08-29,90.80915833,94.02999878,94.09500122,92.33999634,93.44999695,16928000
2023-08-30,90.44216919,93.65000153,94.25,92.47000122,92.55000305,13779900
2023-08-31,89.71785736,92.90000153,93.36000061,92.16000366,92.98000336,13332400
2023-09-01,91.75559235,95.01000214,96.68000031,94.51999664,94.55000305,17452400
2023-09-05,91.40792084,94.65000153,95.39199829,94.06999969,94.52999878,10097600
2023-09-06,91.21476746,94.44999695,95.80000305,94.12999725,94.15000153,10123600
2023-09-07,86.88822174,89.97000122,91.76000214,88.95500183,91.63999939,18667200
2023-09-08,86.96548462,90.05000305,90.30000305,88.73000336,89.59999847,10333300
2023-09-11,85.67137909,88.70999908,90.34999847,87.70999908,89.73000336,15773500
2023-09-12,85.27542877,88.30000305,89.95999908,88.18000031,88.19000244,10262500
